RecordNo,endtime,qweek,gender,region,region_recode,i1_health,i2_health,i7a_health,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i5_health_98,i5a_health,i6_health,i7b_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,profile_household_size,weight,age,household_size,household_children,employment_status
58,2020-04-03 08:29:08,week 1,Female,Daegu metropolitan city,Gyeongsang,3,2,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Not at all,Always,Always,Always,Always,Always,Always,Always,Always,Not at all,Always,Always,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,1.43728140487,59,4,1,Full time employment
59,2020-04-03 08:30:48,week 1,Female,North Jeolla Province,Jeolla,5,2,0,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Somewhat difficult,Very willing,Always,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Always,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Always,Always,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,5,.930528829579,40,5,3,Part time employment
60,2020-04-03 08:31:13,week 1,Male,Incheon metropolitan city,Gyeonggi,2,10,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat difficult,Very willing,Always,Always,Frequently,Always,Always,Frequently,Frequently,Always,Not at all, ,Always,Sometimes,Always,Always,Always,Frequently,Rarely,Not at all,Sometimes,Always,2,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,.855498634964,47,2,0,Full time employment
61,2020-04-03 08:34:17,week 1,Male,South Gyeongsang Province,Gyeongsang,3,15,3,"No, I have not","No, they have not",Yes,Yes,No,No,No,No,No,No,Sometimes,No,No,Yes,Very difficult,Somewhat willing,Always,Frequently,Rarely,Frequently,Frequently,Always,Always,Frequently,Sometimes,Always,Always,Rarely,Frequently,Always,Sometimes,Frequently,Frequently,Rarely,Rarely,Always,3,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,.717782425996,50,4,2,Full time employment
62,2020-04-03 08:34:50,week 1,Male,Busan metropolitan city,Gyeongsang,3,5,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat easy,Somewhat willing,Always,Always,Frequently,Always,Always,Frequently,Always,Frequently,Sometimes, ,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Not at all,Sometimes,Sometimes,Frequently,3,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,1.08025254687,63,4,0,Full time employment
63,2020-04-03 08:34:55,week 1,Female,Daejeon metropolitan city,Chungcheong,0,3,0,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Somewhat easy,Very willing,Always,Always,Sometimes,Always,Always,Always,Always,Frequently, , ,Always,Always,Always,Always,Frequently,Always,Always,Rarely,Always,Always,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,.922258231049,30,4,0,Unemployed
64,2020-04-03 08:35:26,week 1,Female,Seoul special city,Gyeonggi,3,5,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Neither easy nor difficult,Somewhat willing,Always,Always,Always,Always,Frequently,Always,Always,Frequently,Frequently, ,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Always,Frequently,Always,13,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,5,1.11161674226,25,5,0,Part time employment
66,2020-04-03 08:38:32,week 1,Female,South Gyeongsang Province,Gyeongsang,3,20,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Rarely, ,Always,Rarely,Rarely,Rarely,Always,Sometimes,Always,Always,Always,Rarely,5,No,No,No,No,No,No,No,No,No,No,Yes,No,No,학원,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,.932671227545,29,4,0,Full time employment
65,2020-04-03 08:38:31,week 1,Female,Seoul special city,Gyeonggi,3,4,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Frequently,Frequently,Frequently,Always,Always,Always,Sometimes,Always,Always,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,1.11161674226,27,4,0,Full time employment
67,2020-04-03 08:40:16,week 1,Female,Ulsan metropolitan city,Gyeongsang,0,0,4,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Not sure,Not sure,Not sure,Always,Always,Frequently,Sometimes,Not at all,Frequently,Frequently,Not at all, , ,Always,Not at all,Always,Always,Not at all,Not at all,Always,Always,Always,Always,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,3,.929441456674,23,3,0,Unemployed
68,2020-04-03 08:55:32,week 1,Male,Gyeonggi Province,Gyeonggi,1,5,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Very easy,Very willing,Always,Always,Frequently,Always,Frequently,Rarely,Frequently,Not at all,Not at all, ,Always,Frequently,Frequently,Frequently,Frequently,Sometimes,Not at all,Always,Sometimes,Frequently,5,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,.835484834705,34,2,0,Full time employment
69,2020-04-03 08:56:12,week 1,Female,Incheon metropolitan city,Gyeonggi,3,200,0,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Not at all,Always,Always,Always,Always,Always,Frequently,Always,Rarely,Rarely,Always,Frequently,20,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,1.11440727043,41,4,2,Full time employment
70,2020-04-03 08:56:26,week 1,Male,Seoul special city,Gyeonggi,4,10,2,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,Yes,Rarely,No,No,Yes,Somewhat difficult,Very willing,Always,Always,Always,Always,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,Frequently,Sometimes,Sometimes,Always,Frequently,10,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,5,.837582179841,38,5,2,Full time employment
71,2020-04-03 08:57:19,week 1,Male,Seoul special city,Gyeonggi,3,4,0,"No, I have not","No, they have not",Yes,Yes,No,Yes,Yes,No,No,No,Frequently,Yes,No,Yes,Somewhat easy,Somewhat willing,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Always,Frequently,Frequently,Frequently,Frequently,Always,Always,Frequently,Always,Frequently,Frequently,Always,Frequently,Frequently,5,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,__NA__,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,3,.832591613061,24,3,1,Full time employment
72,2020-04-03 09:09:08,week 1,Female,Gyeonggi Province,Gyeonggi,3,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Frequently,Sometimes,Always,Frequently,Frequently,Frequently, ,Not at all,Always,Frequently,Frequently,Always,Sometimes,Rarely,Not at all,Not at all,Frequently,Sometimes,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,4,1.13824520339,47,4,1,Other
73,2020-04-03 09:11:27,week 1,Female,Daejeon metropolitan city,Chungcheong,1,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Somewhat easy,Somewhat willing,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Frequently,Sometimes, , ,Frequently,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Frequently,Frequently,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,2,1.42123458602,67,2,0,Not working
74,2020-04-03 09:11:48,week 1,Male,North Gyeongsang Province,Gyeongsang,0,2,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Neither easy nor difficult,Very willing,Always,Always,Always,Always,Always,Always,Always,Frequently, , ,Always,Always,Always,Always,Always,Sometimes,Always,Always,Always,Always,20, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,.702750120744,42,1,0,Not working
75,2020-04-03 09:14:10,week 1,Male,Gyeonggi Province,Gyeonggi,5,15,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Very difficult,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Frequently, ,Always,Always,Always,Always,Always,Always,Frequently,Not at all,Always,Always,5,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,6,1.28751352192,61,6,0,Full time employment
76,2020-04-03 09:15:29,week 1,Male,Incheon metropolitan city,Gyeonggi,1,1,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Very easy,Very willing,Rarely,Sometimes,Rarely,Sometimes,Rarely,Frequently,Not at all,Rarely,Sometimes, ,Frequently,Frequently,Sometimes,Sometimes,Rarely,Frequently,Sometimes,Always,Sometimes,Sometimes,3,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,.837582179841,39,1,0,Full time employment
77,2020-04-03 09:15:39,week 1,Male,Daegu metropolitan city,Gyeongsang,4,1,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Very easy,Very willing,Always,Always,Sometimes,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Sometimes,Frequently,Always,Always,Always,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,.698562923962,23,4,0,Full time student
78,2020-04-03 09:18:59,week 1,Male,Gyeonggi Province,Gyeonggi,1,5,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Neither easy nor difficult,Very willing,Always,Frequently,Sometimes,Always,Always,Rarely,Rarely,Always,Not at all, ,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Not at all,Not at all,Rarely,Sometimes,10,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,2,.837582179841,43,2,0,Full time employment
79,2020-04-03 09:24:18,week 1,Female,Seoul special city,Gyeonggi,4,10,1,"Yes, and I tested negative","Yes, and they tested negative",Yes,Yes,No,No,No,No,No,Yes,Frequently,No,Yes,Yes,Very difficult,Somewhat willing,Always,Frequently,Frequently,Always,Rarely,Frequently,Always,Always,Rarely,Sometimes,Frequently,Sometimes,Sometimes,Always,Frequently,Sometimes,Rarely,Sometimes,Frequently,Frequently,10,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,5,1.11440727043,39,5,2,Full time employment
80,2020-04-03 09:25:14,week 1,Female,Incheon metropolitan city,Gyeonggi,1,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,3,1.13824520339,45,3,0,Not working
81,2020-04-03 09:25:49,week 1,Female,South Chungcheong Province,Chungcheong,0,2,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Somewhat easy,Somewhat willing,Always,Always,Rarely,Always,Always,Frequently,Frequently,Frequently, , ,Always,Always,Always,Always,Always,Frequently,Always,Frequently,Sometimes,Frequently,8, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,.924573406304,37,1,0,Not working
82,2020-04-03 09:29:44,week 1,Male,Seoul special city,Gyeonggi,1,15,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat easy,Very willing,Always,Sometimes,Frequently,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Frequently,Sometimes,Frequently,Frequently,3,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,.835484834705,29,4,2,Full time employment
83,2020-04-03 09:32:11,week 1,Female,Gyeonggi Province,Gyeonggi,2,10,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Very difficult,Very willing,Frequently,Frequently,Always,Frequently,Frequently,Frequently,Always,Always,Always, ,Always,Always,Frequently,Frequently,Always,Frequently,Always,Always,Always,Frequently,10,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,3,1.10776729642,24,3,0,Full time employment
84,2020-04-03 09:38:35,week 1,Female,Gyeonggi Province,Gyeonggi,1,100,0,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,Not sure,Not at all,No,No,No,Very difficult,Very willing,Always,Always,Not at all,Frequently,Always,Always,Always,Sometimes,Frequently,Not at all,Always,Always,Always,Always,Frequently,Frequently,Always,Always,Rarely,Frequently,1,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,1.13824520339,46,2,2,Full time employment
85,2020-04-03 09:40:01,week 1,Female,Busan metropolitan city,Gyeongsang,4,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Somewhat difficult,Very willing,Always,Always,Always,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Always,Frequently,Frequently,Always,8, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,4,.935012542889,36,4,0,Not working
86,2020-04-03 09:40:19,week 1,Male,Seoul special city,Gyeonggi,0,5,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat difficult,Very willing,Always,Frequently,Frequently,Always,Sometimes,Frequently,Sometimes,Not at all,Frequently, ,Sometimes,Sometimes,Frequently,Frequently,Sometimes,Rarely,Not at all,Not at all,Rarely,Frequently,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,.855498634964,45,1,0,Full time employment
87,2020-04-03 09:41:40,week 1,Male,Seoul special city,Gyeonggi,3,5,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Neither easy nor difficult,Somewhat willing,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Not at all,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,10,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,4,.855498634964,45,4,1,Full time employment
88,2020-04-03 09:44:11,week 1,Female,Seoul special city,Gyeonggi,2,2,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Somewhat easy,Somewhat willing,Always,Always,Always,Frequently,Frequently,Not at all,Frequently,Sometimes,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Frequently,Sometimes,Not at all,Not at all,Frequently,Frequently,3,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,3,1.11440727043,40,3,1,Full time employment
89,2020-04-03 09:44:55,week 1,Male,North Gyeongsang Province,Gyeongsang,2,20,0,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat difficult,Very willing,Always,Always,Always,Frequently,Always,Frequently,Always,Always,Not at all, ,Always,Rarely,Rarely,Always,Frequently,Frequently,Not at all,Sometimes,Rarely,Always,3,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,3,1.08025254687,55,3,0,Full time employment
90,2020-04-03 09:55:13,week 1,Female,Daejeon metropolitan city,Chungcheong,2,9,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Neither easy nor difficult,Very willing,Frequently,Frequently,Rarely,Sometimes,Frequently,Frequently,Frequently,Rarely, , ,Frequently,Frequently,Frequently,Frequently,Frequently,Rarely,Sometimes,Frequently,Frequently,Frequently,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,4,.919064519607,20,4,0,Unemployed
